username, created_at, lng, lat, text
AyeYoRashad, Fri Apr 24 03:04:28 +0000 2020, -95.446486, 29.838495, It’s bittersweet being a good team in the NFL lol you miss out on the Draft picks you really want #RavensFlock 
Maybe_JustinS4G, Fri Apr 24 03:04:28 +0000 2020, -73.948775, 40.655138, One of the best pop songs/videos of the early 2000s 
JCalynnArt, Fri Apr 24 03:04:28 +0000 2020, -76.920117, 38.603521, @CWrestlingUK @RealAdamHuish @EvilMoxleyXXX @Anti_Leader2001 he don't want none of this!😂🤣🤣 
kctaylor35, Fri Apr 24 03:04:28 +0000 2020, -94.774577, 38.954341, @ArmenSaryan If he is there we should take him 
armdrag120, Fri Apr 24 03:04:28 +0000 2020, -118.179155, 33.976214, @WaaldoH Then y'all draft Reagor lol 
cherryboy1988, Fri Apr 24 03:04:28 +0000 2020, -93.202438, 44.746673, 4 plus years of this tweet . J.J. Pick was https://t.co/Y5srjXi6d6 
RichardSanfrat1, Fri Apr 24 03:04:28 +0000 2020, -118.411907, 34.020789, Fucked up went back 
naimarei, Fri Apr 24 03:04:28 +0000 2020, -90.011008, 29.982601, Lets gooooooo 
meetkvell, Fri Apr 24 03:04:28 +0000 2020, -118.411907, 34.020789, @vilonious hope you’re good! miss you man. 
SavageNtheBox, Fri Apr 24 03:04:28 +0000 2020, -82.467211, 28.928124, 🗣🗣🗣🗣🗣🗣🗣🗣🗣🗣 
michaels_missy, Fri Apr 24 03:04:28 +0000 2020, -97.285913, 32.779967, @trohr22 Awesome! And I’m from Springfield, MO too😁 
sjbftmlsc, Fri Apr 24 03:04:28 +0000 2020, -80.897350, 35.002213, He’s a clown. 
Milz_83, Fri Apr 24 03:04:28 +0000 2020, -122.818486, 49.111519, @wetneptune This is eerily creepy weird/cool 
LateKickJosh, Fri Apr 24 03:04:28 +0000 2020, -86.791549, 36.200008, @DavidBo09626055 Negative. 
WileyDaniels7, Fri Apr 24 03:04:28 +0000 2020, -90.247824, 38.653771, @Acyn @CKveen He's as delusional as his father! Must have been dropped on his head a little too often!! https://t.co/85rWtG3e6l 
therevpreston, Fri Apr 24 03:04:28 +0000 2020, -97.169156, 31.547449, @shannanwrites careful with what I do. I soften the air with steam from the shower, shave with aloe gel, and then p… https://t.co/eSEYxM3rtx 
almmar0691, Fri Apr 24 03:04:28 +0000 2020, -157.799589, 21.319944, Unbelievable 
Overpaidjames, Fri Apr 24 03:04:28 +0000 2020, -75.117998, 40.004866, 😂😂😂😂😂😂 
DerryB, Fri Apr 24 03:04:28 +0000 2020, -93.262046, 44.970610, https://t.co/bM7zxTJB3i 
iajlaw, Fri Apr 24 03:04:28 +0000 2020, -93.360600, 44.895222, 🆘🆘🆘We still need a Quarterback‼️#NFLDraft  #NFLDraft2020  #nfl #Vikings #VikingsDraft #Skol 
melanocortins, Fri Apr 24 03:04:29 +0000 2020, -122.343179, 47.755871, @kdinbburg For sure! 
MyMann__, Fri Apr 24 03:04:29 +0000 2020, -74.808071, 39.967126, @TodayCouldB Lmao I can see that as a potential outcome. 
boyd_micheal, Fri Apr 24 03:04:29 +0000 2020, -87.010551, 34.580925, I love State and OU football 💪🏾💪🏾 
007Eureka, Fri Apr 24 03:04:29 +0000 2020, -73.948775, 40.655138, Trump nor anyone in America could have done any better...how ever ones have to give https://t.co/SJ7oaHozja he did… https://t.co/NmAm4SW14P 
clanceman65, Fri Apr 24 03:04:29 +0000 2020, -122.795782, 45.533126, @leonski700 @acevonjohnson @scotcoogan @laguns @TraciiGuns @PhilLewisMusic Thx Leon 🇬🇧 bro...was a great night ✊❤️ 
JLGONZHER, Fri Apr 24 03:04:29 +0000 2020, -96.784727, 44.291864, Food for thought; in the last month in the US more people have died of coronavirus thah US soldiers died in whole C… https://t.co/BUD3jNWgGt 
KeMPLiNGS123, Fri Apr 24 03:04:29 +0000 2020, -86.241722, 43.274414, https://t.co/gmkCWppgG7 
drakeford_tyler, Fri Apr 24 03:04:29 +0000 2020, -74.046402, 40.885966, Facts 
RLEspinal, Fri Apr 24 03:04:29 +0000 2020, -73.948775, 40.655138, @davecohenm @jplupo @agounardes @OoniHQ The dough senses fear! 
jammy_neutron, Fri Apr 24 03:04:29 +0000 2020, -74.184848, 40.734494, Every time this girls breathes.. she’s pregnant.. like are you not tired? 
Clangry, Fri Apr 24 03:04:29 +0000 2020, -86.585100, 36.307425, Just got a, “Murray!” @LeBatardShow @Stugotz790 #DraftDay 
_ThomasCntReed, Fri Apr 24 03:04:29 +0000 2020, -91.090800, 30.459100, His last leg was two years ago fam, he’s done 
tjgordon76, Fri Apr 24 03:04:29 +0000 2020, -87.805669, 42.187782, @TheSportsminn Could’ve had a 2 and 3 from the Chargers instead 
Kameron_Hay, Fri Apr 24 03:04:29 +0000 2020, -118.351218, 33.833714, A WR is wearing that number this coming season 
navgirl63, Fri Apr 24 03:04:29 +0000 2020, -80.149173, 26.150368, @schwingstate @mapleridge8 @3L3V3NTH My sisters are the best! 
sticksandsigs, Fri Apr 24 03:04:29 +0000 2020, -73.968542, 40.780709, “I’d spend every hour and every minute keeping you safe” 
rabeljr, Fri Apr 24 03:04:29 +0000 2020, -91.401008, 30.937336, @SECNetwork @Joe_Burrow10 @allforgod_55 @Tuaamann @DerrickBrownAU5 @HendersonChris_ @JWills73 @__RUGGS @JavonKinlaw… https://t.co/CkmBi0jmqi 
manges_daniel, Fri Apr 24 03:04:29 +0000 2020, -121.979527, 37.523645, @GoldenKnights @Raiders @reavo7five RRRRRAIDERS 
meloyanik, Fri Apr 24 03:04:29 +0000 2020, -122.455344, 47.242960, @C_00_15 @BryO918 @donna_sue_m @JCampbell714 @GovInslee Your profile says you don't deal with stupid so g'night 
MikeDrewWhat, Fri Apr 24 03:04:29 +0000 2020, -93.105649, 44.941516, @mpbMKE Fair enough. 
Nebraskero, Fri Apr 24 03:04:30 +0000 2020, -99.680903, 41.500730, @neilbek https://t.co/jyvhV2ZbOu 
BlackZuko, Fri Apr 24 03:04:30 +0000 2020, -95.562444, 29.623472, When it comes to Houston, I want the torch. 
Richard68065043, Fri Apr 24 03:04:30 +0000 2020, -71.552188, 41.888211, @tomhanks Yeah to bad you played an actor and an actor a fake that played a fake, that sucks, wow #WeThePeople 
Jordan1215, Fri Apr 24 03:04:30 +0000 2020, -82.442694, 27.996595, 😭😭😭😭😭 https://t.co/JthVSaGlc9 
nae2fed, Fri Apr 24 03:04:30 +0000 2020, -90.821106, 29.743764, I love when me and keedy have our talks .. 
HollyWoodSavo_, Fri Apr 24 03:04:30 +0000 2020, -95.658066, 29.700397, Jalen Raegor bro 😑 
_BOMBxoxo, Fri Apr 24 03:04:30 +0000 2020, -83.574671, 41.656590, @yungefromdade We can🤷🏽‍♀️ 
CardinalsOKC, Fri Apr 24 03:04:30 +0000 2020, -97.552161, 35.482844, Drafting an OU defensive player?🧐 
jordanplocker_, Fri Apr 24 03:04:30 +0000 2020, -87.842237, 42.164065, when the knicks drafted porzingis... https://t.co/MaDu8O2zOv 
jimmyyoonn, Fri Apr 24 03:04:30 +0000 2020, -73.968542, 40.780709, sleepy jimmy 
casondra_cass, Fri Apr 24 03:04:30 +0000 2020, -83.161234, 42.209393, I love this woman, I’m so thankful for our friendship. 🥺🖤 https://t.co/2jICDdgUK2 
meer_nats, Fri Apr 24 03:04:30 +0000 2020, -76.952712, 39.076493, @Jay_Rmz @urfavsalvi Check him 💯💯 
kellie_dixon, Fri Apr 24 03:04:30 +0000 2020, -79.008801, 43.101794, @AltNatSecAgency My God the replies. 
Diggs757, Fri Apr 24 03:04:30 +0000 2020, -76.069946, 36.802541, Was bout to watch it chapter 2 but that shit 3 hours smh 
wend_waoga, Fri Apr 24 03:04:30 +0000 2020, -73.723025, 45.557830, Aucune idée hein. Je n’ai jamais cherché a me faire du mal et je n’ai jamais surpris non plus 
_ilovemyhoess_, Fri Apr 24 03:04:30 +0000 2020, -98.540651, 29.417501, No late night taco trucks😭 
bigSUBWAYY, Fri Apr 24 03:04:30 +0000 2020, -86.142922, 39.779562, @Sir_Gutta_ https://t.co/ZW33Pey7zl 
allanrenz, Fri Apr 24 03:04:30 +0000 2020, -73.669450, 40.588623, @RichLowry Heat and a few disinfectant injections and you're all set. 
jamesffarley, Fri Apr 24 03:04:30 +0000 2020, -81.393653, 28.664804, @SonjatMorgan @BravoTV @BravoWWHL @BravoKook @housewivesguy @RealityTVBliss @theDOGstore @SoCalValerie… https://t.co/MNB1oLgZfv 
BIGLEE___, Fri Apr 24 03:04:30 +0000 2020, -77.014398, 38.898603, I got that good dick girl u didnt know 
jballsc21, Fri Apr 24 03:04:30 +0000 2020, -81.014776, 34.915569, 😂😂😂😂 
Island0f24, Fri Apr 24 03:04:30 +0000 2020, -86.505319, 33.594183, @RobMacNYJETS Happy ass fuck with this pick.  Branddd new oline 
swolegirlsclub, Fri Apr 24 03:04:30 +0000 2020, -118.080024, 33.993921, It feels amazing outside! 
DesirableShe, Fri Apr 24 03:04:30 +0000 2020, -118.346138, 33.914068, Don’t DM me if you still hold your clutch in while holding the brake waiting at a red light 🤣 
